case balanced, full length ticks-ish total=3614
tot exec stall  x  y ch
 965  515   450 12  5 r
 428  230   198 11 12 s
  87   76    11  3  3 r
  76   39    37  5 14 U
  66   66     0  3  2 M
  65   65     0 12  6 ^
  65   65     0 12  4 X
  65   65     0  3  4 X
  65   65     0  3  1 v
  64   64     0 14 13 x
  64   64     0 14  6 <
  64   64     0 14  5 +
  64   64     0 14  4 v
  64   64     0 13 13 ]
  64   64     0 13  6 M
  64   64     0 13  4 1
  64   64     0 12 13 m
  64   64     0 11 13 b
  64   64     0 10 13 U
  61   61     0  5  4 M
  33   33     0  4  1 <
  32   32     0 14 14 <
  32   32     0 14 12 <
  32   32     0 13 14 }
  32   32     0 13 12 }
  32   32     0 12 14 s
  32   32     0 12 12 N
  32   32     0 11 14 q
  32   32     0 10 14 d
  32   32     0 10 12 q
  32   32     0  9 13 >
  32   32     0  9 12 a
  32   32     0  6  4 X
  32   32     0  5  1 <
  32   32     0  4  4 +
  32   32     0  2  4 +
  32   32     0  2  1 s
  32   32     0  1  4 ^
  32   32     0  1  3 +
  32   32     0  1  2 +
  32   32     0  1  1 >
  29   29     0  6  8 <
  29   29     0  6  7 /
  29   29     0  6  6 W
  29   29     0  6  5 3
  29   29     0  5  8 ^
  29   29     0  5  7 W
  29   29     0  5  6 b
  29   29     0  5  5 +
  29   29     0  5  3 d
  29   29     0  5  2 s
  29   15    14  5 12 s
   3    3     0  7  4 ^
   3    3     0  7  3 1
   3    3     0  7  2 s
   3    3     0  7  1 <
   3    3     0  6  1 0
   2    2     0  4 13 @
   1    1     0 12  3 s
   1    1     0 12  2 >
   1    1     0 11  6 @
   1    1     0  8 13 M
   1    1     0  8 12 0
   1    1     0  7 13 5
   1    1     0  7 12  
   1    1     0  6 14 ^
   1    1     0  6 13 X
   1    1     0  6 12 <
   1    1     0  5 13 v
   1    1     0  4 14 >
   1    1     0  4 12 v
   1    1     0  4  8 ^
   1    1     0  4  7  
   1    1     0  4  6  
   1    1     0  4  2 ^
   1    1     0  3  8 >
   1    1     0  3  7 s
   1    1     0  3  6 X
   1    1     0  3  5 W
   1    1     0  2  2 @
